claim,verdict,source,category,correction
"Voyager 1 is the farthest human-made object from Earth, having entered interstellar space in 2012",True,NASA JPL Voyager,space_exploration,
Voyager 1 carries a Golden Record containing sounds and images of Earth intended for any extraterrestrial life that might find it,True,NASA JPL,space_exploration,
The Space Shuttle program ran from 1981 to 2011 with 135 missions,True,NASA Space Shuttle Program,space_exploration,
SpaceX's Falcon 9 was the first orbital-class rocket to successfully land and be reused,True,SpaceX,space_exploration,
The Mars Perseverance rover landed on Mars in February 2021 and carried the Ingenuity helicopter,True,NASA Mars 2020,space_exploration,
Ingenuity was the first powered controlled flight on another planet,True,NASA JPL,space_exploration,
There is no gravity in space or on the International Space Station,False,NASA,space_exploration,"Gravity exists everywhere in space. Astronauts on the ISS experience microgravity because they are in continuous freefall around Earth, not because there is no gravity. Gravity at ISS altitude is about 90% of surface gravity."
The Great Wall of China is visible from space with the naked eye,False,"NASA, ISS astronauts",space_exploration,The Great Wall of China is not visible from low Earth orbit with the naked eye. It is too narrow. This is a common myth that has been debunked by multiple astronauts.
"In space, without a spacesuit, a human would instantly freeze",False,NASA,physics,"Space is a vacuum with very poor heat transfer. A human would not instantly freeze. The main dangers are lack of oxygen, ebullism (body fluids boiling at low pressure), and decompression. Freezing would take a long time."
Sound cannot travel through the vacuum of space because there are no molecules to carry sound waves,True,NASA,physics,
Earth's atmosphere protects us from most meteoroids which burn up as meteors before reaching the surface,True,NASA,solar_system,
The largest known structure in the universe is the Hercules-Corona Borealis Great Wall at about 10 billion light-years across,True,Horvath et al. 2014,cosmology,
Exoplanets are planets that orbit stars outside our solar system and thousands have been confirmed,True,NASA Exoplanet Archive,exoplanets,
The first exoplanet orbiting a Sun-like star was 51 Pegasi b discovered in 1995,True,Nobel Prize in Physics 2019,exoplanets,
"The TRAPPIST-1 system contains seven Earth-sized rocky planets, three of which are in the habitable zone",True,NASA,exoplanets,
The habitable zone is the region around a star where conditions might allow liquid water to exist on a planet's surface,True,NASA,exoplanets,
Proxima Centauri b is the closest known exoplanet to Earth orbiting the nearest star to the Sun at about 4.24 light-years away,True,ESO,exoplanets,
The Kepler Space Telescope discovered the majority of known exoplanets before being retired in 2018,True,NASA Kepler/K2,exoplanets,
Gravitational waves were first directly detected in 2015 by the LIGO observatory confirming Einstein's prediction,True,LIGO Scientific Collaboration,physics,
Pulsars are rapidly rotating neutron stars that emit beams of electromagnetic radiation,True,NASA,stars,
The Chandrasekhar limit of about 1.4 solar masses is the maximum mass of a stable white dwarf star,True,Nobel Prize in Physics 1983,stars,
"Our solar system is located in the Orion Arm of the Milky Way galaxy about 26,000 light-years from the galactic center",True,NASA,galaxies,
"Enceladus, a moon of Saturn, has geysers that shoot water ice into space from a subsurface ocean",True,NASA Cassini Mission,moons,
"Io, a moon of Jupiter, is the most volcanically active body in the solar system",True,NASA,moons,
"Ganymede is the largest moon in the solar system, even larger than the planet Mercury",True,NASA,moons,
The Crab Nebula is the remnant of a supernova explosion observed by Chinese astronomers in 1054 AD,True,NASA,stars,
White dwarfs are the remnant cores of low to medium mass stars that have exhausted their nuclear fuel,True,NASA,stars,
The Sun will eventually become a red giant in about 5 billion years before shedding its outer layers and becoming a white dwarf,True,NASA,stars,
Nuclear fusion in the Sun's core converts hydrogen into helium releasing enormous amounts of energy,True,NASA,stars,
The solar wind is a stream of charged particles released from the Sun's corona that extends throughout the solar system,True,NASA,solar_system,
"Solar flares and coronal mass ejections can disrupt satellites, communications, and power grids on Earth",True,NASA Space Weather,solar_system,
The auroras or northern and southern lights are caused by charged particles from the Sun interacting with Earth's magnetic field,True,NASA,solar_system,
